id    source    dictionary_es_id    reason_code
440    lastimarse    40616    heuristic
441    cierra    18047    heuristic
442    obras    46151    heuristic
443    jovenes    39908    heuristic
444    suelen    57090    heuristic
445    cotidiana    13009    heuristic
446    sencilla    58189    heuristic
447    cortarse    13207    heuristic
448    gustaría    35448    heuristic
449    toda    61043    heuristic
450    trabajadora    61450    heuristic
451    han    35480    heuristic
452    pequena    48797    heuristic
453    nina    45647    heuristic
454    debe    26003    heuristic
455    sube    56632    heuristic
456    aburrida    8343    heuristic
457    tanta    59839    heuristic
458    rica    53193    heuristic
459    sana    58809    heuristic
460    corta    13207    heuristic
461    duermo    21643    heuristic
462    oigo    46434    heuristic
463    abierta    8676    heuristic
464    arboles    8903    heuristic
465    árboles    8903    heuristic
466    vecina    64427    heuristic
467    viva    63386    heuristic
468    diga    25916    heuristic
469    enojada    28241    heuristic
470    seguida    58396    heuristic
471    preciosa    50856    heuristic
472    mija    43989    heuristic
473    misma    44214    heuristic
474    casada    19014    heuristic
475    ve    64100    heuristic
476    doy    26049    heuristic
477    será    58089    heuristic
478    yendo    37186    heuristic
479    sepa    59326    heuristic
480    ambas    4479    heuristic
481    vende    64239    heuristic
482    nueces    45315    heuristic
483    nosotras    45438    heuristic
484    fisica    33420    misspelling
485    suiguientes    57773    misspelling
486    sigo    58392    heuristic
487    ningún    45591    heuristic
488    puse    50376    heuristic
489    estuve    30432    heuristic
490    nieva    45660    heuristic
491    suena    56944    heuristic
492    mis    41937    heuristic
493    mis    43903    heuristic
494    vengo    64183    heuristic
495    hermosa    35994    heuristic
496    vamos    37186    heuristic
497    puedo    50376    heuristic
498    entiendo    28491    heuristic
499    linda    41314    heuristic
500    fue    58089    heuristic
501    estoy    30432    heuristic
502    es    58089    heuristic
503    voy    37186    heuristic
504    bonita    9860    heuristic
505    siento    58139    heuristic
506    bella    10714    heuristic
507    cansada    19903    heuristic
508    guapa    35164    heuristic
509    ducharse    21529    heuristic
510    fui    58089    heuristic
511    estan    30432    heuristic
512    hizo    35540    heuristic
513    somos    106453    heuristic
514    somos    58089    heuristic
515    "Estados Unidos"    96826    heuristic
516    dura    21411    heuristic
517    enfadarse    27825    heuristic
518    pudo    50163    heuristic
519    habiticion    35494    misspelling
520    portarse    50544    heuristic
521    simpatica    57679    misspelling
522    pude    50163    heuristic
523    sois    58089    heuristic
524    provenir    51837    heuristic
525    despierta    23185    heuristic
526    tonta    61154    heuristic
527    amiga    4402    heuristic
528    conozco    14557    heuristic
529    nubes    45350    heuristic
530    ultima    62877    misspelling
531    alas    6064    heuristic
532    "yo tengo"    60364    heuristic
533    quise    52346    heuristic
534    perezosa    48914    heuristic
535    prepararse    51074    heuristic
536    tiendas    60757    heuristic
537    cree    12852    heuristic
538    tomas    61097    heuristic
539    graciosa    34727    heuristic
540    "ha sido"    58089    heuristic
541    peces    49357    heuristic
542    viven    63388    heuristic
543    muchas    45018    heuristic
544    "un rato"    55594    heuristic
545    quito    52547    heuristic
546    vives    63388    heuristic
547    sería    58089    heuristic
548    perdida    48858    heuristic
549    cuidarse    12143    heuristic
550    fines    32616    heuristic
551    supo    59326    heuristic
552    seca    58494    heuristic
553    ruego    52948    heuristic
554    empiezo    27092    heuristic
555    pasó    48008    heuristic
556    gata    34021    heuristic
557    guera    35287    misspelling
558    sucia    56508    heuristic
559    cuesta    13062    heuristic
560    vas    37186    heuristic
561    ven    64183    heuristic
562    gorda    34617    heuristic
563    encantada    27366    heuristic
564    duele    21769    heuristic
565    otra    47042    heuristic
566    pienso    48735    heuristic
567    maestra    42158    heuristic
568    pongo    50376    heuristic
569    alguna    5357    heuristic
570    digo    25916    heuristic
571    digo    25916    heuristic
572    podemos    50163    heuristic
573    fea    32899    heuristic
574    mariscos    101015    heuristic
575    "yo soy"    58089    heuristic
576    dio    26049    heuristic
577    chula    16999    heuristic
578    anda    3997    heuristic
579    ama    4614    heuristic
580    hemos    35480    heuristic
581    siente    58139    heuristic
582    hablado    35516    heuristic
583    sola    57026    heuristic
584    vive    63388    heuristic
585    buena    9201    heuristic
586    cuantos    66868    heuristic
587    iba    37186    heuristic
589    tus    62621    heuristic
590    algunas    5357    heuristic
591    revistas    53305    heuristic
592    molesta    44455    heuristic
593    luces    41897    heuristic
594    temas    60210    heuristic
595    tapas    59842    heuristic
596    crees    12852    heuristic
597    cayó    20798    heuristic
598    calles    20442    heuristic
599    "los fines de semana"    32615    heuristic
600    medias    43336    heuristic
601    siga    58392    heuristic
602    vienes    64183    heuristic
603    busco    8981    heuristic
604    son    58089    heuristic
605    deja    25703    heuristic
606    esta    30450    heuristic
607    estas    30450    heuristic
608    anos    3743    heuristic
609    botas    9702    heuristic
610    pies    49475    heuristic
611    enseguida    109554    heuristic
612    quizás    52556    heuristic
613    cerrada    18057    heuristic
614    seca    58494    heuristic
615    refugiarse    54752    heuristic
616    flaca    32511    heuristic
617    hecha    35757    heuristic
618    maldita    42364    heuristic
619    cuya    11853    heuristic
620    nueva    45316    heuristic
621    nena    45747    heuristic
622    hijos    36243    heuristic
623    sabia    59326    heuristic
624    pido    48431    heuristic
625    cuida    12143    heuristic
626    fuiste    37186    heuristic
627    "son las"    58089    heuristic
628    "que pasa"    109543    misspelling
629    cuidad    12150    misspelling
630    "fines de semana"    32615    heuristic
631    almuerza    4967    heuristic
632    traduce    61491    heuristic
633    madura    42138    heuristic
634    roja    52934    heuristic
635    haga    35540    heuristic
636    contesta    14225    heuristic
637    hice    35540    heuristic
638    fueron    37186    heuristic
639    tercer    60449    heuristic
640    "creo que"    12852    heuristic
641    afueras    6735    heuristic
643    fresas    31877    heuristic
644    comparte    15345    heuristic
645    dile    25916    heuristic
646    "voy a"    37186    heuristic
647    pina    49369    misspelling
648    adecuada    7400    heuristic
649    uñas    63040    heuristic
650    ajena    6133    heuristic
651    hare    35540    heuristic
652    olas    46476    heuristic
653    "yo quiero"    52346    heuristic
654    valores    64598    heuristic
655    legumbres    40874    heuristic
656    amplia    4241    heuristic
657    medidas    43373    heuristic
658    supe    59326    heuristic
659    ancha    4054    heuristic
660    mesita    43760    heuristic
661    tenga    60364    heuristic
662    enamorada    27242    heuristic
663    ligera    41200    heuristic
664    honduras    98770    heuristic
665    paris    102971    heuristic
666    alojarse    4931    heuristic
667    pesas    49230    heuristic
668    quiénes    104577    heuristic
669    reglas    54635    heuristic
670    alumna    4735    heuristic
671    comica    21299    heuristic
672    correos    13323    heuristic
673    verdadera    64060    heuristic
674    cuentas    12219    heuristic
675    toco    61022    heuristic
676    aca    8324    misspelling
677    mucha    45018    heuristic
678    sabrosa    59290    heuristic
679    oyes    46434    heuristic
680    gemela    34114    heuristic
681    abogada    8599    heuristic
682    "el horario"    36659    heuristic
683    bendiga    10692    heuristic
684    cesped    21334    misspelling
685    "¿cuándo es tu cumpleaños?"    109452    heuristic
686    "no hay"    35480    heuristic
687    orgullosa    46812    heuristic
688    dejó    25703    heuristic
689    como?    66681    heuristic
690    salga    59065    heuristic
691    cansados    19903    heuristic
692    venden    64239    heuristic
693    vamanos    109565    misspelling
694    quiza    52556    misspelling
695    conviene    13847    heuristic
696    estrecha    30698    heuristic
697    segunda    58383    heuristic
698    tendrá    60364    heuristic
699    cae    20798    heuristic
700    aguda    6338    heuristic
701    crayon    12892    misspelling
702    multiple    41961    misspelling
703    combine    15514    heuristic
704    mejores    43420    heuristic
705    sillas    57730    heuristic
706    conocida    14553    heuristic
707    quiera    52346    heuristic
708    blanca    10198    heuristic
709    pesada    49235    heuristic
710    leccion    40773    misspelling
711    mentiras    43649    heuristic
712    impuestos    39024    heuristic
713    estaciones    30343    heuristic
714    partidos    109566    heuristic
715    que?    104537    heuristic
716    ud    63136    heuristic
718    cejas    66431    heuristic
719    timida    59466    heuristic
720    "me levanto"    41026    heuristic
721    diciendo    25916    heuristic
722    "me visto"    63874    heuristic
723    unica    62976    heuristic
724    vasos    64452    heuristic
725    entera    28513    heuristic
726    otras    47042    heuristic
727    autobus    582    heuristic
728    florida    109567    heuristic
729    notas    45435    heuristic
730    "tu eres"    58089    heuristic
731    diaria    22573    heuristic
732    comi    15464    heuristic
733    terminado    60495    heuristic
